Código do Equipamento,Equipamento,UF,Município,Rodovia,Km,Coordenadas,Registro INMETRO,Nº de Série
MGB19120049,Redutor Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"245,124","-41.492481, -17.60117",14980055,2300013
MGR19120104,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"274,923","-41.513926, -17.841802",14438452,2300003
MGB19120050,Redutor Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"276,850","-41.514916, -17.861912",14808609,2300012
MGR19120107,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"277,080","-41.515252, -17.859686",15322714,2300185
MGR19120108,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"277,080","-41.515252, -17.859686",15324052,2300166
MGR19120109,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"280,210","-41.522396, -17.885993",15324047,2300169
MGR19120110,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"280,210","-41.522396, -17.885993",15324047,2300169
MGR19120101,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"277,620","-41.51565, -17.864486",15324053,2300150
MGR19120102,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"277,620","-41.51565, -17.864486",15324054,2300151
MGR18110050,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"274,636","-41.512926, -17.839087",15322692,2300139
MGR18110051,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"276,000","-41.514908, -17.850632",15322713,2300218
MGR18110052,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"277,680","-41.517207, -17.868557",15322712,2300219
MGR18110053,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"285,970","-41.528124, -17.935439",15322693,2300141
MGR18110056,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"290,466","-41.544355, -17.97249",15322711,2300220
MGR22010142,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"232,200","-41.4875, -17.5065",15388503,2300033
MGR22010143,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"283,000","-41.5271, -17.9114",14808674,2300035
MGR22010144,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"233,390","-41.4862, -17.513",14808675,2300034
MGR22120161,Controlador Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"268,700","-41.501111, -17.791639",15388531,FSCII6701
MGR22110158,Controlador Eletrônico de Velocidade,MG,TURMALINA,367,"444,600","-42.82881, -17.286598",14980064,FSCII6702
MGB22060118,Redutor Eletrônico de Velocidade,MG,TURMALINA,367,"443,700","-42.822263, -17.284151",14980022,2300045
MGB22060119,Redutor Eletrônico de Velocidade,MG,TURMALINA,367,"443,700","-42.822263, -17.284151",14980022,2300045
MGB22120121,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"626,560","-48.314875, -18.907837",14112596,11300
MGR23030173,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,365,"627,600","-48.325714, -18.905824",15105769,11299
MGB21030106,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"625,100","-48.30312, -18.90927",14439594,11026
MGB20090098,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"596,300","-48.07838, -18.87294",14439579,11354
MGB20090084,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"625,365","-48.305, -18.91059",14112586,11328
MGB20090085,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"625,800","-48.30727, -18.90997",14112585,11329
MGR20090124,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,050,"72,200","-48.23952, -18.90066",14112588,11337
MGR20090119,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,050,"74,250","-48.22351, -18.91179",14112590,11340
MGB20090072,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"623,100","-48.28561, -18.90434",14112577,11325
MGB20090073,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"623,800","-48.29289, -18.90511",14112578,11326
MGB20090074,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"623,800","-48.29255, -18.90488",14112579,11327
MGR20090116,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,365,"621,550","-48.272904, -18.898977",14112576,11322
MGB20090061,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,365,"622,100","-48.27676, -18.9022",14112581,11323
MGB20090062,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"66,376","-48.26048, -18.87717",14112582,11330
MGR20090117,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,365,"622,900","-48.28441, -18.90421",14112580,11324
MGB20090063,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"67,130","-48.25813, -18.87347",14112583,11341
MGB20090064,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"68,680","-48.26466, -18.8825",14112584,11331
MGB20090065,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"69,140","-48.26383, -18.88564",14112595,11332
MGB20090066,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"69,700","-48.25759, -18.88969",14112594,11333
MGR20090118,Controlador Eletrônico de Velocidade,MG,UBERLANDIA,050,"70,300","-48.25403, -18.89203",14112587,11334
MGB20090067,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"70,950","-48.24991, -18.89428",14112593,11335
MGB20090068,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"71,350","-48.24697, -18.89603",14112592,11336
MGB20090069,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"72,700","-48.23435, -18.90376",14112589,11338
MGB20090070,Redutor Eletrônico de Velocidade,MG,UBERLANDIA,050,"72,900","-48.23241, -18.90472",14112591,11339
MGB20040057,Redutor Eletrônico de Velocidade,MG,UNAI,251,"899,150","-46.896228, -16.4145",15260379,2300142
MGR20040113,Controlador Eletrônico de Velocidade,MG,UNAI,251,"900,100","-46.896741, -16.406556",15260380,2300143
MGB19120053,Redutor Eletrônico de Velocidade,MG,MATHIAS LOBATO,116,"375,350","-41.915428, -18.574838",14438493,2300010
MGR18080002,Controlador Eletrônico de Velocidade,MG,MATHIAS LOBATO,116,"376,367","-41.922486, -18.580112",15322715,2300221
PRR20120084,Controlador Eletrônico de Velocidade,PR,FLOR DA SERRA DO SUL,280,"293,780","-53.342251, -26.249016",13361481,10694
PRR19020035,Controlador Eletrônico de Velocidade,PR,VENTANIA,153,"134,780","-50.248899, -24.040498",13841958,10984
PRR19020036,Controlador Eletrônico de Velocidade,PR,VENTANIA,153,"146,850","-50.232724, -24.130633",13841959,10830
PRR20120087,Controlador Eletrônico de Velocidade,PR,CANDOI,373,"400,090","-52.05333, -25.57138",13361478,10724
PRB20090027,Redutor Eletrônico de Velocidade,PR,CANDOI,373,"399,170","-52.048328, -25.564756",15263942,PRO0000026
PRR19100064,Controlador Eletrônico de Velocidade,PR,FAROL,272,"392,780","-52.631164, -24.092435",14967708,PRO0000005
PRB18100007,Redutor Eletrônico de Velocidade,PR,MERCEDES,163,"302,900","-54.160746, -24.449116",15264982,PRO0000011
SCR20100082,Controlador Eletrônico de Velocidade,SC,VARGEM,282,"306,750","-50.953655, -27.49586",14744761,6059
SCR20080076,Controlador Eletrônico de Velocidade,SC,VARGEM,282,"305,800","-50.949778, -27.500972",11663,R12982
SCR20010011,Controlador Eletrônico de Velocidade,SC,VARGEM BONITA,282,"421,100","-51.737062, -27.007567",14403722,11251
SCB20010019,Redutor Eletrônico de Velocidade,SC,VARGEM BONITA,282,"436,090","-51.851627, -26.970657",14003050,11051
SCR20010016,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"529,900","-52.60449, -26.985512",14403709,11206
SCR20010019,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"533,880","-52.633002, -26.996814",14403723,11157
SCR20010017,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"530,160","-52.606293, -26.986984",14794164,11451
SCR20010025,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"534,060","-52.634822, -26.996834",14403724,11190
SCR23010099,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"529,100","-52.598092, -26.982427",14403731,11205
SCR23010100,Controlador Eletrônico de Velocidade,SC,CORDILHEIRA ALTA,282,"529,100","-52.598092, -26.982427",13999381,11153
RSR20060119,Controlador Eletrônico de Velocidade,RS,MINAS DO LEAO,290,"183,135","-52.04815, -30.14471",14292961,11229
RSR20040087,Controlador Eletrônico de Velocidade,RS,MINAS DO LEAO,290,"182,130","-52.03795, -30.1427",14292973,11389
RSB20030297,Redutor Eletrônico de Velocidade,RS,VILA NOVA DO SUL,290,"372,680","-53.885167, -30.342167",14394977,11189
RSB20030299,Redutor Eletrônico de Velocidade,RS,VILA NOVA DO SUL,290,"372,620","-53.884683, -30.34185",14394978,11212
RSB20030282,Redutor Eletrônico de Velocidade,RS,MATO CASTELHANO,285,"273,215","-52.195168, -28.277121",13761941,10681
RSB21020402,Redutor Eletrônico de Velocidade,RS,BOA VISTA DAS MISSOES,386,"71,510","-53.316717, -27.659617",14437080,11444
RSB21020403,Redutor Eletrônico de Velocidade,RS,BOA VISTA DAS MISSOES,386,"71,510","-53.316717, -27.659617",14437079,11404
RSB20050369,Redutor Eletrônico de Velocidade,RS,BOA VISTA DAS MISSOES,386,"74,230","-53.308083, -27.681083",14445401,11464
RSB20050370,Redutor Eletrônico de Velocidade,RS,BOA VISTA DAS MISSOES,386,"74,460","-53.307883, -27.68315",14437100,11465
RSB20030267,Redutor Eletrônico de Velocidade,RS,CAMPESTRE DA SERRA,116,"79,565","-51.095679, -28.794281",13999378,10636
RSB20020232,Redutor Eletrônico de Velocidade,RS,CAMPESTRE DA SERRA,116,"95,545","-51.146767, -28.877633",13999348,10773
RSB20020259,Redutor Eletrônico de Velocidade,RS,CAMPESTRE DA SERRA,116,"79,990","-51.095739, -28.798085",13999377,10639
RSB22030410,Redutor Eletrônico de Velocidade,RS,MORRO REUTER,116,"215,900","-51.08088, -29.53684",13999379,11239
RSB20020234,Redutor Eletrônico de Velocidade,RS,PICADA CAFE,116,"193,750","-51.137967, -29.444983",13976718,11237
RSB20020235,Redutor Eletrônico de Velocidade,RS,PICADA CAFE,116,"193,925","-51.137167, -29.446233",13976717,11235
RSB20020236,Redutor Eletrônico de Velocidade,RS,PICADA CAFE,116,"197,205","-51.1524, -29.467883",13976716,11238
RSB20020237,Redutor Eletrônico de Velocidade,RS,PICADA CAFE,116,"197,690","-51.149867, -29.4714",13976715,11236
RSR20050097,Controlador Eletrônico de Velocidade,RS,VITORIA DAS MISSOES,285,"526,270","-54.534517, -28.403783",14445487,11449
RSB20050368,Redutor Eletrônico de Velocidade,RS,TIRADENTES DO SUL,468,"130,050","-54.126867, -27.356117",14445413,11466
